[00:00:00] 好的,感谢本次大会,感谢主持人的介绍。我是侯仲。今天想跟大家带来的一个分享就是AI 传统产业,从项目提效、团队提效到研发组织进化的实战之路。
[00:00:16] 在整体开始演讲之前,我先想跟大家讲一讲就是为什么我会把这个作为其中的一个选题。
[00:21:28] 我们做了一个反转实验,
[00:21:29] 大概是,
[00:21:30] 它的时间应该是完整,
[00:21:32] 我们抽了一个特别独立的场景,
[00:21:34] 这个反转实验呢,
[00:21:35] 因为在大规模项目的大合作,
[00:21:37] 因为大规模项目上面,
[00:21:38] 我们都是好几年迭代,
[00:21:40] 然后最终对话,
[00:21:41] 才把整个需求做完,
[00:21:43] 但是我又抽了一个三十分钟,
[00:21:45] 基本上一两门迭代,
[00:21:46] 就可以对话收成了一个,
[00:21:48] 这么一个具体的产品功能,
[00:21:50] 我们找这几个产品,
[00:21:51] 类似的几个产品功能呢,
[00:21:53] 去做实验,
[00:21:54] 实验完以后呢,
[00:21:55] 去求它的平均值,
[00:21:56] 我们当时做了一个事儿,
[00:21:58] 就是先直接无脑地去跟它对话,
[00:22:00] 去产生功能,
[00:22:01] 大概三十分钟,
[00:22:03] 三十分钟的时间,
[00:22:05] 这个时候呢,
[00:22:06] 其实我们的系统,
[00:22:07] 也是没有积累对应的支出了,
[00:22:09] 它也不了解整个业务,
[00:22:10] 是一个什么样的业务,
[00:22:11] 业务的目的是什么,
[00:22:12] 然后呢,
[00:22:13] 我就又做了一个事情,
[00:22:14] 我在对话的完成之后呢,
[00:22:16] 我让它去,
[00:22:17] 给我收成了一些支出,
[00:22:18] 事成功成功的,
[00:22:19] 包括技术文档,
[00:22:20] 原封股文档,
[00:22:21] 项目文档,
[00:22:22] 业务文档等等,
[00:22:23] 往上冲进去,
[00:22:24] 收成功能回填,
[00:22:25] 回填完之后呢,
[00:22:26] 我们再去进行相应的对话,
[00:22:28] 在这个时候,
[00:22:29] 将近数十分钟,
[00:22:30] 我们又去,
[00:22:31] 进行了类似的一些操作,
[00:22:32] 它的支出,
[00:22:33] 进行了各种加工,
[00:22:34] 配合的一些事情,
[00:22:35] 最后呢,
[00:22:36] 大概是六分钟,
[00:22:37] 为了证明这个地方的有效率,
[00:22:39] 当时我刚刚介绍,
[00:22:40] 做了一个红转,
[00:22:41] 把其中一部分支出的删除,
[00:22:43] 就把它删回去,
[00:22:44] 现在我们的市场,
[00:22:45] 逐渐地变长,
[00:22:46] 到市场里面变长三十,
[00:22:48] 这是做了其中一分左右的时间,
[00:22:50] 而类似的,
[00:22:51] 我们也找了很多,
[00:22:52] 相似的一些这个,
[00:22:53] 场面去过时,
[00:22:54] 落实完之后,
[00:22:55] 发现也有类似的结构,
[00:22:56] 基本上可以回到,
[00:22:57] 知识库对于小功能的开发,
[00:22:59] 也是有用的,
[00:23:00] 那我们现在基本上,
[00:23:01] 得到一个情况,
[00:23:02] 随着AI,
[00:23:03] 越来越理解我们的业务,
[00:23:05] 通过知识库这种方式,
[00:23:06] 越来越理解我们的业务之后,
[00:23:08] 我们的开发效果,
[00:23:09] 是能得到进一步的提升的,
[00:23:14] 那么右侧其实还特别,
[00:23:15] 值得提到的一个点,
[00:23:16] 就是现任上手时间,
[00:23:17] 和我们现在的上场,
[00:23:18] 这个是无一的意料之外,
[00:23:20] 在最开始,
[00:23:21] 我们本来认为,
[00:23:22] 整体的这个知识库落地,
[00:23:23] 相关那些开发的这些,
[00:23:25] 它都是面对AI建设的,
[00:23:26] 对于这个知识库,
[00:23:27] 但我发现,
[00:23:28] 陈列了很多知识库之后,
[00:23:29] 刚好我们团队有三个人入职,
[00:23:31] 这三个人,
[00:23:32] 我们当时入职,
[00:23:33] 应该是第二,
[00:23:34] 第一天的时候,
[00:23:35] 我们就说,
[00:23:36] 你先把对应的人员下载下来,
[00:23:38] 你不会的,
[00:23:39] 你直接限定系统,
[00:23:44] 你尝试基于现在的情况,
[00:23:45] 给他画个家屋图,
[00:23:46] 画一个什么,
[00:23:47] 基于Mirror Mind,
[00:23:48] 画一个柔软图,
[00:23:49] 什么的,
[00:23:50] 他就不会的,
[00:23:51] 把他直接问回来,
[00:23:52] AI在借着现任知识库的情况下,
[00:23:53] 也把很多知识都还掉了他,
[00:23:55] 我发现新任数值的时间,
[00:23:56] 远近可能两周的时间,
[00:23:58] 然后需要到人带,
[00:23:59] 不断地给他讲系统,
[00:24:00] 业务支持,
[00:24:01] 但在AI的情况下,
[00:24:03] 两天基本上就够了,
[00:24:04] 而且后面的很多系统,
[00:24:06] 开发了一个相应的落地,
[00:24:08] 它都直接的参与,
[00:24:09] 它不需要比特别多的一些信息,
[00:24:11] 那我做一些间接的一些思路,
[00:24:14] 我觉得真的,
[00:24:17] 结构化的程序表示,
[00:24:18] 以及模块化的组织维护,
[00:24:20] 是很重要的,
[00:24:21] 我们逐渐地把整个这些知识,
[00:24:23] 去落地之后,
[00:24:24] 我们的学生就发现了一个问题,
[00:24:26] 我们当时的那个知识条目,
[00:24:27] 它最开始几十条,
[00:24:29] 然后一两半条,
[00:24:30] 然后呢,
[00:24:31] 终于有一段时间,
[00:24:32] 到了一千多条,
[00:24:33] 一千多条的时候,
[00:24:34] 我们传统了一个,
[00:24:35] 大家这样一个知识库的方式,
[00:24:36] 里头通过关键词,
[00:24:37] 什么相关性的召回,
[00:24:38] 这个方式,
[00:24:39] 它就很难照顾了,
[00:24:41] 然后我们就在想,
[00:24:42] 怎么去更好地去维护呢,
[00:24:44] 我们发现一个特别有意思的结果,
[00:24:46] 我那天刚好在看书,
[00:24:47] 书的第一页是目录,
[00:24:49] 第二页是目录,
[00:24:50] 然后就一条一条地试试,
[00:24:52] 我们说,
[00:24:53] 与企业知识库这么难过,
[00:24:54] 我们先,
[00:24:55] 最简单的话,
[00:24:56] 把它贴上座,
[00:24:57] 我们就起了一个markdown,
[00:24:58] 这个markdown,
[00:24:59] 就起了一层目录,
[00:25:00] 说这层目录里面,
[00:25:01] 这一部分的知识,
[00:25:02] 是不是要说什么,
[00:25:03] 另外,
[00:25:05] 我们做了一个层级的分类,
[00:25:06] 进入这个分类之后呢,
[00:25:08] 我们去再去,
[00:25:09] 进行了更多的一些提炼啊,
[00:25:11] 收敛等等,
[00:25:12] 然后我们就发现,
[00:25:13] 知识库的模块和管理之后,
[00:25:15] 它就和人家清晰了,
[00:25:16] 没有这个目录,
[00:25:17] 有这个目录之后,
[00:25:18] 跟agent去对话的时候,
[00:25:20] 它就变成了什么,
[00:25:21] 原先的话,
[00:25:22] 有对话之后,
[00:25:23] 它直接开始解锁知识,
[00:25:24] 把基础知识呢,
[00:25:25] 去收集它,
[00:25:26] 然后去进行修改,
[00:25:27] 然后等等,
[00:25:28] 然后不断地去代表它,
[00:25:29] 对应的代表,
[00:25:30] 或者是产品的PRD,
[00:25:31] 等等的收集出来,
[00:25:32] 有了这个,
[00:25:33] 这个封封机的时候呢,
[00:25:35] 它是先解锁名目录,
[00:25:36] 目录里看到它需要再解锁,
[00:25:38] 转向知识库的时候,
[00:25:39] 它再反弹进一步地解锁,
[00:25:40] 就是这个过程。
[00:25:43] 那在知识库里面呢,
[00:25:44] 我们现在发现,
[00:25:45] 随着一些新项目不断地落地,
[00:25:47] 通过一些task和需求,
[00:25:49] 中的反向补充的过程,
[00:25:51] 这个知识库就越来越完整,
[00:25:53] 进入文档覆盖率,
[00:25:54] 也得到了进一步的提升,
[00:25:55] 同时我们的效率,
[00:25:56] 也得到了进一步的提升。
[00:25:59] 总结一句话,
[00:26:00] 叫前人分数后人重量,
[00:26:02] 第一个,
[00:26:03] 尤其去肯那个老系统,
[00:26:05] 安华的人,
[00:26:06] 是最痛苦的,
[00:26:07] 因为他要去在没有知识库的情况下,
[00:26:09] 也要在没有知识库的情况下,
[00:26:11] 跟他对话,
[00:26:12] 直到这个需求完成了,
[00:26:13] 但越往后的人,
[00:26:14] 会效率越好,
[00:26:15] 他的提销空间自然就提升了,
[00:26:17] 我们经过测算,
[00:26:18] 基本上第一个人肯定不提销,
[00:26:20] 他做完这个需求,
[00:26:21] 跟他熟悉的程度差不多,
[00:26:23] 但是呢,
[00:26:24] 有个好处,
[00:26:25] 他做完这个需求之后,
[00:26:26] 知识库就拼接了五步,
[00:26:27] 因为我们做完了这个需求之后,
[00:26:29] 我们基于他的那个上下方的对话,
[00:26:31] 这个对话反向重装出了知识,
[00:26:33] 调度提升出了知识调度,
[00:26:34] 我们再不断地去理解,
[00:26:35] 这个调度就会越来越完成,
[00:26:37] 第二个变化的最大的特点是说,
[00:26:41] 原先的研发同学们,
[00:26:43] 更多的是学编程,
[00:26:44] 然后,
[00:26:45] 未来的研发同学,
[00:26:46] 可能要转向到学协同,
[00:26:48] 这个里面是怎么说,
[00:26:50] 就我们团队有两个同学,
[00:26:52] 有一个同学,
[00:26:53] 我就按A和B来举例了,
[00:26:55] 团队中有一个A同学,
[00:26:56] 这个A同学呢,
[00:26:57] 我们目前认为是,
[00:26:59] 他是无法编程中的小教主,
[00:27:01] 之前呢,
[00:27:02] 他曾经做过好多次高级项目,
[00:27:04] 或者说能做过好多次高级项目,
[00:27:06] 原因是说,
[00:27:07] 这个人,
[00:27:08] 接任何需求和任何项目的时候,
[00:27:10] 他自我实现和逻辑的能力非常强,
[00:27:13] 是一个独行侠,
[00:27:14] 他在编程之后,
[00:27:15] 他对整个项目的系统,
[00:27:17] 然后以及对应的面对视角的触发上,
[00:27:20] 他都会很快地去完成对应开发的逻辑,
[00:27:23] 但他有个缺点,
[00:27:24] 他因为自己能力太强,
[00:27:25] 他总觉得做某些事情,
[00:27:27] 跟别人对话很麻烦,
[00:27:28] 他就自己做,
[00:27:29] 所以他全是自己干的,
[00:27:31] 这是A同学,
[00:27:32] 第二个是B同学,
[00:27:33] B同学在开发的过程中呢,
[00:27:35] 他更多地喜欢跟别人交流,
[00:27:37] 在我们之前提的需求理论评会,
[00:27:39] 他都发现找一些中后台的同事,
[00:27:41] 去聊看看咱们一起怎么写作吧,
[00:27:43] 这事做吧,
[00:27:44] 然后找一些其他的同学同事,
[00:27:46] 说咱们可以一起把这事写作吧,
[00:27:48] 这是B同学,
[00:27:49] 我们发现在AI之后,
[00:27:51] B同学的表现反而反超了A同学,
[00:27:54] 我们做了一下画像分析,
[00:27:56] A同学的擅长的地方是,
[00:27:58] 在这儿的办法实现系统毕竟和业务毕竟,
[00:28:01] 而B同学呢,
[00:28:02] 这个能力是整体的协作业务毕竟,
[00:28:05] 那在代码实现这方面,
[00:28:06] B同学是落后一点点去的,
[00:28:08] 但是,
[00:28:09] 通过这个跟AI的这个对话,
[00:28:11] 反而补齐了他的那个代码实现,
[00:28:13] 因为他能看的,
[00:28:14] 他就是写得慢,
[00:28:15] 他落地也比较慢,
[00:28:16] 他反而能完成了这部分的补齐,
[00:28:19] 我们就在这个过程中发现,
[00:28:20] 好像在AI时代,
[00:28:21] B同学的表现会更加好,
[00:28:23] 同时我们发现,
[00:28:24] B同学的AI体验一直没提起来,
[00:28:26] 他一直有一个问题说,
[00:28:27] AI感觉好笨,
[00:28:28] 我说的话听不懂,
[00:28:29] 结果我们看了一下他的体识词,
[00:28:32] 他确实说的还是有点问题,
[00:28:34] 因为他平常自己很容易就进入到,
[00:28:37] 我自己可以做,
[00:28:38] 我老是跟你说,
[00:28:39] 他的情况,
[00:28:40] 所以他表态一直有一些缺陷,
[00:28:42] 我们再往后看,
[00:28:44] 那再往后呢,
[00:28:46] 就是其实是一个展望,
[00:28:48] 我们在这个过程中呢,
[00:28:50] 认为AI会从外的专家,
[00:28:52] 变成我们内化成我们的一个团队专家,
[00:28:55] 我们做的过程是,
[00:28:56] 逐渐让它变化,
[00:28:57] 我们分为两种,
[00:28:58] 第一种呢,
[00:28:59] 情况是整体的AI,
[00:29:01] AI的这个,
[00:29:02] 这个AI落地呢,
[00:29:03] 是在新创业,
[00:29:04] 它是很容易落地,
[00:29:05] 这个里面呢,
[00:29:06] 它其实是没有,
[00:29:07] 它其实是没有那个,
[00:29:09] 历史保守,
[00:29:10] 它是很容易落地的,
[00:29:11] 那这个时候,
[00:29:12] 按照我们的方法,
[00:29:13] 落地完之后呢,
[00:29:14] 自然而然的就可以呈现一下,
[00:29:15] 我们相对的知识,
[00:29:17] 那它就有知识,
[00:29:18] 在代表的一种,
[00:29:19] 第二种呢,
[00:29:20] 情况呢,
[00:29:21] 就是我们呢,
[00:29:22] 积累了历史数十年的,
[00:29:23] 一些老代表,
[00:29:24] 老系统,
[00:29:25] 老业务,
[00:29:26] 产品等等,
[00:29:27] 这么样一些努力,
[00:29:28] 那在每次做一个新需求的时候,
[00:29:30] 其实它都像一个考古,
[00:29:32] 我们戏称为这叫考古的程式,
[00:29:35] 我们的第一件事,
[00:29:36] 不是做这个功能,
[00:29:37] 而是翻各种历史老代表,
[00:29:39] 说我这么改弹之后,
[00:29:40] 它到底会不会追扣到,
[00:29:42] 它们历史这边,
[00:29:43] 这几个系统之间,
[00:29:44] 它们的关系是什么,
[00:29:45] 对,
[00:29:46] 像考古的程式,
[00:29:47] 但是这个考古的程式,
[00:29:48] 随着每做一个task,
[00:29:49] 我们的做法是,
[00:29:50] 整个把这个大需求,
[00:29:51] 插进去很多个task,
[00:29:52] 每一个task,
[00:29:53] 都是可以在一到两天内,
[00:29:55] 闭环执行上限,
[00:29:56] 闭环执行,
[00:29:57] 就是交付的一部分,
[00:29:58] 那我们就让这个人,
[00:29:59] 去完成这个task的落地和开发,
[00:30:02] 开发完之后呢,
[00:30:03] 再去上限,
[00:30:04] 这个时候,
[00:30:05] 我们就得到了一个,
[00:30:06] 它跟AI板交互上下轮,
[00:30:08] 我们拿到这个上下轮以后,
[00:30:09] 再用另外一个AI板,
[00:30:10] 把它变成知识库,
[00:30:11] 就能把它变成知识库的媒体案,
[00:30:13] 这是这一步的,
[00:30:14] 那随着知识库的越来越短转,
[00:30:16] 以及我们之前做的实验,
[00:30:18] 我们发现,
[00:30:19] 这个AI会逐渐内化成为一个团队专家,
[00:30:21] 它甚至比我们的总监,
[00:30:23] 具体的这个传媒官研发股市,
[00:30:25] 更短,
[00:30:26] 大家信了,
[00:30:28] 同时,
[00:30:29] 再往后,
[00:30:30] 如果一个公司,
[00:30:31] 一个团队,
[00:30:32] 和一个组织发生变化,
[00:30:33] 那整个行业,
[00:30:34] 生态,
[00:30:35] 和组织也会升级,
[00:30:36] 第一步过程,
[00:30:37] 是AI结构的升级,
[00:30:38] 这个,
[00:30:39] 这一块呢,
[00:30:40] 我主要是通过了,
[00:30:41] 我们之前的A和B的,
[00:30:43] 这两个同事的对比发现,
[00:30:45] 我发现,
[00:30:46] 原先更注重,
[00:30:47] 编程具体实现细节的同事,
[00:30:49] 慢慢普惠上的那种战友,
[00:30:51] 但是也是必要的,
[00:30:52] 他们更多的会成为,
[00:30:53] AI的比较大模型的善后股主持,
[00:30:56] 为其他人具体的善后股,
[00:30:58] 那第二步,
[00:31:00] 能够更快速落地企业价值上,
[00:31:02] 将会形成产品公司,
[00:31:04] 他们的目标是,
[00:31:05] 快速给公司用技术方式,
[00:31:07] 或者产品加价的方式,
[00:31:08] 提供价值,
[00:31:09] 快速地去打通这个变化,
[00:31:11] 这是第二步,
[00:31:12] 所以人态结构会发生变化,
[00:31:14] 人态结构发生变化之后呢,
[00:31:16] 它就会进行人态组织,
[00:31:18] 就进入到教育体系,
[00:31:20] 那既然社会上需要这样的人才,
[00:31:22] 那么教育行业也就慢慢的,
[00:31:24] 也会发生改变,
[00:31:25] 海边的话,
[00:31:26] 也会定向培养这些人才,
[00:31:27] 同时呢,
[00:31:28] 在公司整个内部呢,
[00:31:30] 我们的组织分析也会发生变化,
[00:31:32] 比如说我们现在,
[00:31:33] 就在推动整个以使用AI的能力,
[00:31:36] 或者使用AI体效的能力,
[00:31:38] 作为其中,
[00:31:39] 很关键的建设评审,
[00:31:41] 以及对应的绩效评审,
[00:31:43] 其中的一个组织部位,
[00:31:45] 那公司对这部分的要求,
[00:31:47] 也发生进一步的变化,
[00:31:51] 那在未来,
[00:31:52] 有了这些变化之后,
[00:31:54] 那其实我们可以预感到,
[00:31:56] 企业级的协同平台,
[00:31:58] 就会逐渐去发展出来,
[00:32:00] 那大概是什么呢,
[00:32:01] 就比如说,
[00:32:02] 我们整个一个企业,
[00:32:03] 就是逻辑上能去协同,
[00:32:05] 技术功能能去协同,
[00:32:07] 到智能辅助,
[00:32:08] 就是我们当前的型号,
[00:32:09] 智能辅助阶段,
[00:32:10] 我们去做,
[00:32:11] 然后以及到知识部阵去驱动,
[00:32:13] 比如说我们事前,
[00:32:14] 事中,
[00:32:15] 事后,
[00:32:16] 如何自动的承接知识部,
[00:32:17] 怎么把企业的知识,
[00:32:18] 都能投递到AI的这个AI中,
[00:32:21] 然后这些过程,
[00:32:22] 其实就慢慢会形成一个行动平台,
[00:32:24] 那企业级的知识部,
[00:32:25] 也就是应用运转和经营,
[00:32:27] 就会成为最可信的资产,
[00:32:29] 那在这个阶段呢,
[00:32:30] 我们人机行动也就变得更加频繁,
[00:32:33] 我们现在更多推了AI当作我们的一个使用,
[00:32:36] 或者是落地者,
[00:32:37] 搞它是一个agent,
[00:32:38] 那之后也可能会产生一些AI的这个人机行动,
[00:32:42] 它可能更多的是我们一个机器人同事,
[00:32:46] 和人机的干部,
[00:32:47] 那在这些过程中呢,
[00:32:51] 我们也简单的总结一下,
[00:32:52] 就是我在这个阶段里,
[00:32:54] 我们分别做了几件事,
[00:32:55] 第一件呢,
[00:32:56] 是先从一个项目上,
[00:32:57] 我们说的38.6个项目,
[00:32:58] 我们先从一个项目上,
[00:32:59] 随后白格率人效的提升,
[00:33:02] 人员成本的降低,
[00:33:03] 然后呢同时带着这个团队,
[00:33:05] 去落地了我们整个团队吧,
[00:33:08] 22.5%-25%匹匹的团队体效,
[00:33:11] 最后,
[00:33:12] 我们在这个过程中发现,
[00:33:13] 通过支付团的直接连带,
[00:33:15] 形成了前人单数,
[00:33:16] 固很丰美的能力,
[00:33:18] 在引入这个AI的嘛之后,
[00:33:20] 开放,
[00:33:21] 在把外部专家成为室内化的绑队专家之后
[00:33:24] 可以让我们的公司享受到
[00:33:26] 效率倍增和组织能力升级的
[00:33:28] 这么一个全新的变化
[00:33:32] 我们最后有一层
[00:33:34] 最后的一份展望
[00:33:36] 我们刚起来其实在介绍和落地的这个项目
[00:33:40] 我们更多聚焦在产业内容
[00:33:41] 我们作为产品的研发
[00:33:44] 其实我们能看到的是
[00:33:45] 我们自己作为产品研发专家
[00:33:48] 我们的事情能做
[00:33:49] 我们怎么通过AI Agent的方式
[00:33:51] 把它的体效
[00:33:52] 把它尽可能自动化地落地
[00:33:54] 如何让我们效率最高
[00:33:56] 这个思路我们更多的还区间取定于一个
[00:33:59] 类似于施工队的这么一个思路
[00:34:01] 我们未来其实可以把这个事情打出去
[00:34:04] 就像我现在正在做的
[00:34:05] 我把我们其中的一部分赋能和自动化体效
[00:34:09] 落地到了对应的业务团队
[00:34:11] 业务团队里面
[00:34:12] 当前其实已经产生了一个成果
[00:34:15] 有一个8个人的运营团队
[00:34:17] 有一个必须靠人才能做的事情
[00:34:19] 在我们的AI Agent的接入下
[00:34:21] 通过虚拟团队完全的接管
[00:34:23] 相应的业务指标和业务目标都是由我们团队来背
[00:34:27] 然后相应的力量全部替换到对应的AI Agent
[00:34:31] 这是一个技术人或者产品人
[00:34:34] 所能打造的另外一个劳动
[00:34:35] 就是通过虚拟Agent接管的业务
[00:34:38] 进而直接地为企业加持
[00:34:40] 我们可以看到
[00:34:42] 往更长远的两到三年或者三年以上的产业
[00:34:45] 我们作为产品人
[00:34:47] 我们能做的事情就是接管
[00:34:49] 更多的业务
[00:34:50] 产生更多的价值
[00:34:51] 给公司的企业价值直接补充
