# 【十字路口】97后CEO：别卷语言模型了，3D才是蓝海【视频播客】
# BV: BV1pi4gzXEdh | UP: Koji杨远骋at十字路口 | 时长: 5029s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 在文生图、文生视频的浪潮之外，下一个引爆我们想象力的 AI 技术奇点在哪里？答案可能是 AI + 3D。

本周，我们邀请国内 3D 大模型公司 VAST 的创始人和 CEO 宋亚宸（Simon），和我们聊聊 VAST 最新 3D 生成大模型 Tripo 3.0 背后的故事。

这位 97 年的创业者短期内连续融资三轮、每轮数千万美金，积攒了足够的子弹，在闷头苦干一年后，Simon 今年首次上播客，和我们探讨了几个关键的战略问题：
[00:16:15 -> 00:16:17] 他打出来的效果其实会非常非常好
[00:16:17 -> 00:16:20] 你不需要做什么二次操作
[00:16:20 -> 00:16:22] 你不要去做各种的修改有的没的
[00:16:22 -> 00:16:24] 他直接就可以去用
[00:16:24 -> 00:16:26] 而且生成的效果也很好
[00:16:26 -> 00:16:27] 你根本不知道发生了什么
[00:16:27 -> 00:16:31] 你甚至不知道这个里面有什么结构
[00:16:31 -> 00:16:33] 什么格式什么都不需要知道
[00:16:33 -> 00:16:36] 你也不需要知道怎么样去修3D
[00:16:36 -> 00:16:38] 有哪些DCC建模软件
[00:16:38 -> 00:16:40] 这些都不是你要关心的事情
[00:16:40 -> 00:16:41] 所以2.0到3.0
[00:16:41 -> 00:16:42] 你们背后是做了什么工作
[00:16:42 -> 00:16:44] 要让他到3.0
[00:16:44 -> 00:16:45] 工作很多
[00:16:45 -> 00:16:46] 包括更多的数据
[00:16:46 -> 00:16:48] 更好的算法
[00:16:48 -> 00:16:51] 然后优化了算法模块
[00:16:51 -> 00:16:53] 它其实本身上来说是个系统性工程
[00:16:53 -> 00:16:55] 他可能不是说我就干了一个点
[00:16:56 -> 00:16:56] 给解决掉
[00:16:56 -> 00:17:01] 他绝对是一个在每个环节上都变得更好
[00:17:01 -> 00:17:02] 比如他的可控性更强了
[00:17:02 -> 00:17:04] 成功率更高了
[00:17:04 -> 00:17:05] 更精细了
[00:17:05 -> 00:17:09] 然后包括他的性能也更优化了
[00:17:09 -> 00:17:12] 但我觉得这个里面可能更精细了
[00:17:12 -> 00:17:13] 尤其是它的几何更精细了
[00:17:13 -> 00:17:15] 这一点是尤为重要的
[00:17:15 -> 00:17:17] 三望可不可以给我们的听众
[00:17:17 -> 00:17:19] 一些比较具象的分析
[00:17:19 -> 00:17:21] 比如说其实我也没有技术背景
[00:17:21 -> 00:17:23] 但是在我们开始录之前
[00:17:23 -> 00:17:25] 我跟 Gemini一直在讨论你们的技术背景
[00:17:25 -> 00:17:25] 我跟 Gemini一直在讨论你们的技术背景
[00:17:25 -> 00:17:27] 你们的一些资料
[00:17:27 -> 00:17:29] 然后比如说他有跟我分析说
[00:17:29 -> 00:17:31] 其实在Triple 2.0的时候
[00:17:31 -> 00:17:33] 在公开的信息里面提到说
[00:17:33 -> 00:17:37] 你们采用的是融合DIT和UNIT模型的复合架构
[00:17:37 -> 00:17:39] 就Gemini给我分析的是说
[00:17:39 -> 00:17:42] 这个复合架构本身就非常的挑战
[00:17:42 -> 00:17:45] 我想问一下你们在3.0是不是还用的这个架构
[00:17:45 -> 00:17:47] 以及如果你来解释一下
[00:17:47 -> 00:17:49] Gemini提出的这个架构本身
[00:17:49 -> 00:17:50] 就是很有挑战的
[00:17:50 -> 00:17:52] 具体体现在哪里呢
[00:17:52 -> 00:17:54] 那么3.0我觉得有一个
[00:17:55 -> 00:17:58] 还是那句话就是我实事求是来讲说
[00:17:58 -> 00:18:01] 它不是一个一直要先吃遍天的东西
[00:18:01 -> 00:18:03] 不是说我说这个东西就M.O.E了
[00:18:03 -> 00:18:04] 我们就牛逼了
[00:18:04 -> 00:18:06] 不是这个东西就是我们经常在看一些
[00:18:06 -> 00:18:07] 这个大模型
[00:18:07 -> 00:18:08] 不管是什么的大模型
[00:18:08 -> 00:18:09] 大家会经常说
[00:18:09 -> 00:18:11] 我就因为这个东西我就牛逼了
[00:18:11 -> 00:18:12] 然后这个抬头一放
[00:18:12 -> 00:18:13] 这个可牛逼了
[00:18:13 -> 00:18:16] 我觉得首先我觉得科学不是这么做的
[00:18:16 -> 00:18:19] 它肯定不是说我就只有一个点
[00:18:19 -> 00:18:20] 我变革性
[00:18:20 -> 00:18:22] 它不是这么一个事情
[00:18:22 -> 00:18:25] 那么我觉得值得一讲的
[00:18:25 -> 00:18:29] 是我们研发了一种新的表达形式
[00:18:29 -> 00:18:31] 叫SparkFlex
[00:18:31 -> 00:18:34] 就是我们把它叫SF
[00:18:34 -> 00:18:35] 其实最早的时候
[00:18:35 -> 00:18:37] 我们在今年的4月份就开源了
[00:18:37 -> 00:18:38] 叫Triple SF
[00:18:38 -> 00:18:40] 它的那个效果
[00:18:40 -> 00:18:42] 其实就是本身是比较好的
[00:18:42 -> 00:18:46] 那么SF就是SparkFlex
[00:18:46 -> 00:18:49] 它有不少特点
[00:18:49 -> 00:18:55] 首先它去生成一个三级模型的成本
[00:18:56 -> 00:18:59] 然后ROI是大致成本是大大的下降了
[00:18:59 -> 00:19:02] 它的生成的速度大大的提升了
[00:19:02 -> 00:19:05] 因为它跳过了这个水明性这个环节
[00:19:05 -> 00:19:06] 同时的话
[00:19:06 -> 00:19:11] 它的我们把它叫做
[00:19:11 -> 00:19:12] 这叫什么
[00:19:12 -> 00:19:15] 精细度变得更加的提升了
[00:19:15 -> 00:19:22] 它可以支持上千乘上千乘上千的这么一个空间去生成
[00:19:22 -> 00:19:26] 那么自然它的颗粒度生成的颗粒度
[00:19:26 -> 00:19:27] 就可以更有更多的细节
[00:19:27 -> 00:19:30] 同时你就这么理解吧
[00:19:30 -> 00:19:31] 我觉得说了很多太复杂的话
[00:19:31 -> 00:19:32] 我觉得这么理解
[00:19:32 -> 00:19:36] 就是大家可能对文生视频是比较了解的
[00:19:36 -> 00:19:38] 文生视频我们在做DIT的时候
[00:19:38 -> 00:19:41] 其实很重要的是叫做Token
[00:19:41 -> 00:19:42] 或者叫Tokenization
[00:19:42 -> 00:19:47] 这个Tokenization里面的这个Token是很重要的
[00:19:47 -> 00:19:48] 那怎么去定义它
[00:19:48 -> 00:19:50] 那么你可以理解为SparkFlex
[00:19:50 -> 00:19:54] 就是一种三级表达形式
[00:19:54 -> 00:19:56] 三级表达形式就是一种Token
[00:19:56 -> 00:19:59] 那么越好的表达形式
[00:19:59 -> 00:20:02] 它的压缩率还原率和保证率就越好
[00:20:02 -> 00:20:04] 那这样子的话呢
[00:20:04 -> 00:20:07] 你能够一方面支撑更多的数据去进行训练
[00:20:07 -> 00:20:08] 第二呢
[00:20:08 -> 00:20:11] 它本身生成的效果就更好
[00:20:11 -> 00:20:12] 同时它的精度更高等等的
[00:20:12 -> 00:20:13] 它有很多特点
[00:20:13 -> 00:20:17] 那么之前我们也看到说
[00:20:17 -> 00:20:21] 在近期有很多新的表达形式被提出来
[00:20:21 -> 00:20:23] 也是非常好的
[00:20:23 -> 00:20:25] 比如说最早的有像一些
[00:20:25 -> 00:20:26] 那再来说一下
[00:20:26 -> 00:20:28] 再早的就是可能Mesh
[00:20:28 -> 00:20:31] 然后再比如说这个之前有Nerf
[00:20:31 -> 00:20:32] 对吧
[00:20:32 -> 00:20:35] 然后最近又很火的这个Gauss
[00:20:35 -> 00:20:38] 然后SparkFlex也是一种表达形式
[00:20:38 -> 00:20:44] 这种表达形式对AI 3D的训练有非常好的一个效果
[00:20:44 -> 00:20:46] 可以这么理解
[00:20:46 -> 00:20:47] 那3.0发了之后
[00:20:47 -> 00:20:50] 有没有一些数据能够显示
[00:20:50 -> 00:20:54] 比如说这个提升带给用户的这种价值的提高
[00:20:54 -> 00:20:55] 不管是用量啊
[00:20:55 -> 00:20:58] 或者用户的这个付费啊
[00:20:58 -> 00:21:01] 或者用户的使用的更高的频率
[00:21:01 -> 00:21:01] 肯定是有
[00:21:01 -> 00:21:06] 然后用户的用量也有非常大的一个提升
[00:21:06 -> 00:21:08] 对3.0的反馈是非常好
[00:21:08 -> 00:21:12] 而且3.0现在我们发布了可以理解为一般吧
[00:21:12 -> 00:21:14] 就是现在是发布了Standard
[00:21:14 -> 00:21:17] 我们之后还会再发布一个Ultra
[00:21:17 -> 00:21:20] Ultra的那个版本是真的效果会更好
[00:21:20 -> 00:21:23] 但那可能真正的时间会更长一些
[00:21:23 -> 00:21:25] 有没有什么事是2.5不能做的
[00:21:25 -> 00:21:25] 然后
[00:21:25 -> 00:21:28] 3.0给它解锁掉的场景
[00:21:28 -> 00:21:29] 我觉得这么理解比较好
[00:21:29 -> 00:21:33] 就是我们其实有一个产品叫做Triple Studio
[00:21:33 -> 00:21:35] 然后这个Triple Studio
[00:21:35 -> 00:21:39] 它包含了大量的AI算法机构
[00:21:39 -> 00:21:41] 然后它上面有一系列的功能
[00:21:41 -> 00:21:42] 就是AI Studio
[00:21:42 -> 00:21:44] 就是Triple Studio的定义
[00:21:44 -> 00:21:47] 就是我们希望有一个AI Native的一个workflow
[00:21:47 -> 00:21:54] 用个AI原生的工作流去替代整个非常复杂的3D的冗余的一个传统的制作管线
[00:21:54 -> 00:21:55] 啊
[00:21:55 -> 00:21:58] 这个事情是我们Triple Studio希望去做
[00:21:58 -> 00:22:03] 那么Triple Studio上线了以后
[00:22:03 -> 00:22:05] 收入翻了两倍多
[00:22:05 -> 00:22:07] 其实是一个非常大的一个提升
[00:22:07 -> 00:22:08] 在5月31号上线的
[00:22:08 -> 00:22:11] 我记得有一次你在十字路口线下的开放版有分享说
[00:22:11 -> 00:22:14] 你们其实在欧洲有一个套壳的小哥
[00:22:14 -> 00:22:18] 这套Triple的那个API
[00:22:18 -> 00:22:19] 他赚了很多钱
[00:22:19 -> 00:22:23] 所以现在这个Triple Studio就是类似那个小哥做的那个套壳工具吗
[00:22:23 -> 00:22:24] 不完全是
[00:22:24 -> 00:22:28] 就是我们希望把它做得更加的agent化
[00:22:28 -> 00:22:33] 我们之后会在里面加更多的一些对话框啊
[00:22:33 -> 00:22:38] 或者包括一些简单的语言的交互和这个拖拉载交互
[00:22:38 -> 00:22:43] 你可以理解为我们3D的生成了以后的东西
[00:22:43 -> 00:22:44] 比如说生成了一个80分的东西
[00:22:44 -> 00:22:47] 以前我们会在传统管线里面会去做二次编辑
[00:22:47 -> 00:22:51] 现在我们在Triple Studio上面做二次编辑
[00:22:51 -> 00:22:53] 那这样子的话
[00:22:53 -> 00:22:54] 而且这个编辑的
[00:22:54 -> 00:23:00] 成本和门槛和时间都会大大的下降
[00:23:00 -> 00:23:03] 那这个对这个就是Triple Studio的意义吧
[00:23:03 -> 00:23:06] Triple Studio其实给我们带来了很多新的功能
[00:23:06 -> 00:23:09] 而这些功能都是全世界独有的
[00:23:09 -> 00:23:12] 就是之前原类可能都没有发明出来
[00:23:12 -> 00:23:14] 我觉得可以举几个例子啊
[00:23:14 -> 00:23:18] 比如说第一就是万物的自动的语义分割
[00:23:18 -> 00:23:20] 我们把它叫segmentation
[00:23:20 -> 00:23:22] 就你生成一个3D的模型
[00:23:22 -> 00:23:24] 你原来其实它是
[00:23:24 -> 00:23:25] 一块一坨的
[00:23:25 -> 00:23:26] 这很好理解
[00:23:26 -> 00:23:29] 比如说纹身图纹身视频
[00:23:29 -> 00:23:32] 它刚生成出来的时候都是没有原文件的
[00:23:32 -> 00:23:34] 所以它没有办法做二次编辑
[00:23:34 -> 00:23:37] 比如说你生成一张纹身图的一张图
[00:23:37 -> 00:23:38] 你放到Photoshop里面
[00:23:38 -> 00:23:39] 你会发现它是不分层的
[00:23:39 -> 00:23:40] 它没有layers
[00:23:40 -> 00:23:41] 对吧
[00:23:41 -> 00:23:42] 那你没办法做编辑
[00:23:42 -> 00:23:44] 那么3D也是以前也生成东西一坨
[00:23:44 -> 00:23:46] 但现在我们生成出来的一个3D模型了以后
[00:23:46 -> 00:23:48] 它是可以自动的做成
[00:23:48 -> 00:23:51] 通过理解这个模型是个什么东西
[00:23:51 -> 00:23:54] 然后把它的每个部件变成一块一块的
[00:23:54 -> 00:23:55] 这是一个很大的变化
[00:23:55 -> 00:23:56] 对
[00:23:56 -> 00:23:58] 然后把每一块都自动的可以分割开来
[00:23:58 -> 00:24:01] 然后每一个部件再自动的给它补全
[00:24:01 -> 00:24:02] 就比如说我拿了一瓶水
[00:24:02 -> 00:24:05] 这个水它会和我的手自动的可以分开来
[00:24:05 -> 00:24:08] 然后这个水是一个单独的完整的一个3D的模型
[00:24:08 -> 00:24:11] 我的手也是个单独的完整的3D模型
[00:24:11 -> 00:24:14] 这样子的话它都在资产库里面你可以去做替换
[00:24:14 -> 00:24:16] 这是3.0做到的事情
[00:24:16 -> 00:24:17] 不 这是Triple Studio的一个能力
[00:24:17 -> 00:24:19] 为什么我讲Triple Studio
[00:24:19 -> 00:24:24] 就是Triple Studio其实上线了一整套的AI算法
[00:24:24 -> 00:24:34] 它定义了很多在AI时代的一个3D的编辑和交互的一个形态
[00:24:34 -> 00:24:35] 一个交互方式
[00:24:35 -> 00:24:36] 一个方式
[00:24:36 -> 00:24:37] 对 可以这么理解
[00:24:37 -> 00:24:40] 比如说我们把它Segmentation和Part Completion
[00:24:40 -> 00:24:45] 就是一个非常经典的一个事情
[00:24:45 -> 00:24:52] 当然我们也会有些竞争对手之后也会有这样的功能
[00:24:52 -> 00:24:54] 我理解这个就像Canva出AI的时候
[00:24:54 -> 00:24:55] 他们一个非常大的卖点
[00:24:55 -> 00:24:56] 就是我们生成的图
[00:24:56 -> 00:24:59] 你是可以把它分成图层一点一点去编辑的
[00:24:59 -> 00:25:00] 所以Lavalt也在讲这个点
[00:25:00 -> 00:25:03] 这个就是一个创新
[00:25:03 -> 00:25:05] 就是之前没有人能做到的
[00:25:05 -> 00:25:07] 我们先把这个事情做到了
[00:25:07 -> 00:25:10] 然后比如说我们还做了一个叫做万物谷歌绑定
[00:25:10 -> 00:25:11] 什么意思
[00:25:11 -> 00:25:13] 就是你生成了一个3D的模型
[00:25:13 -> 00:25:15] 它原来是不能动的
[00:25:15 -> 00:25:16] 就跟雕塑一样
[00:25:16 -> 00:25:19] 但现在它自动的做谷歌绑定和蒙屏
[00:25:19 -> 00:25:20] 比如说人就不说了
[00:25:20 -> 00:25:21] 这很好做了
[00:25:21 -> 00:25:24] 比如说猫 狗 牛 蛇 鱼
[00:25:24 -> 00:25:26] 龙
[00:25:26 -> 00:25:28] 甚至八爪鱼
[00:25:28 -> 00:25:30] 什么蜘蛛
[00:25:30 -> 00:25:34] 它都可以去做自动的谷歌绑定和动作
[00:25:34 -> 00:25:37] 就等于说你比如说你生成了一只龙
[00:25:37 -> 00:25:38] 对吧
[00:25:38 -> 00:25:39] 龙不是一条龙
[00:25:39 -> 00:25:40] 一只龙不知道怎么说
[00:25:40 -> 00:25:44] 但你可以理解为它可以自动的把它绑到这个手指头
[00:25:44 -> 00:25:45] 这个级别
[00:25:45 -> 00:25:47] 那它就可以动起来了
[00:25:47 -> 00:25:50] 那这个就是一个非常重要的一件事情
[00:25:50 -> 00:25:54] 而且大大的节省了这个创作的一个时间和时间
[00:25:54 -> 00:25:56] 降低了门槛的一件事情
[00:25:56 -> 00:25:57] 对
[00:25:57 -> 00:25:58] 然后还做了很多
[00:25:58 -> 00:25:59] 比如说低模的生成
[00:25:59 -> 00:26:01] 就原来生成一个模型
[00:26:01 -> 00:26:02] 可能几百万面
[00:26:02 -> 00:26:04] 几十万面很正常
[00:26:04 -> 00:26:05] 但你要进入到一些
[00:26:05 -> 00:26:09] 比如说我们把它叫做实时渲染的关系
[00:26:09 -> 00:26:10] 比如说游戏
[00:26:10 -> 00:26:11] XR 元宇宙
[00:26:11 -> 00:26:12] 这样子的关系
[00:26:12 -> 00:26:15] 你会发现说它很吃本地的性能
[00:26:15 -> 00:26:17] 因为几十万面上百万面
[00:26:17 -> 00:26:19] 比如说一束光打过去
[00:26:19 -> 00:26:20] 它的计算量就很大
[00:26:20 -> 00:26:24] 但是当你只有比如几百面几千面的时候
[00:26:24 -> 00:26:27] 那你自然的计算量就变小了
[00:26:27 -> 00:26:29] 然后你就没有那么吃本地的性能
[00:26:29 -> 00:26:31] 它就可以实时的去进行渲染
[00:26:31 -> 00:26:34] 所以对于这样子的场景来说
[00:26:34 -> 00:26:39] 我们就自研了一套基于自回归路线
[00:26:39 -> 00:26:41] 做了一整套的低模的生成
[00:26:41 -> 00:26:46] 你生成的模型天然面是很低的
[00:26:46 -> 00:26:49] 这样子它的实用性会更强
[00:26:49 -> 00:26:51] 所以就有很多这样子类似的功能
[00:26:51 -> 00:26:53] 包括做了这个magic brush
[00:26:53 -> 00:26:58] 我们还去做了这个各种各样的吧
[00:26:58 -> 00:26:59] 一系列的这个能力
[00:26:59 -> 00:27:03] 其实它是我们认为说它形成了一个工作流
[00:27:03 -> 00:27:04] 其实这是一个
[00:27:04 -> 00:27:05] 我觉得你们做Triple Studio
[00:27:05 -> 00:27:08] 是一个非常重要的战略上的一个决策
[00:27:08 -> 00:27:10] 因为会有很多人可能会觉得
[00:27:10 -> 00:27:13] 现在应该立出一孔把模型基模
[00:27:13 -> 00:27:14] all in 基模
[00:27:14 -> 00:27:16] 但你刚才其实这个热情洋溢
[00:27:16 -> 00:27:18] 讲了非常多Triple Studio的功能
[00:27:18 -> 00:27:21] 但我理解这背后就是大量的产源的时间精力
[00:27:21 -> 00:27:22] 包括你自己的投入
[00:27:22 -> 00:27:23] 各位讲一讲
[00:27:23 -> 00:27:24] 这背后的思考
[00:27:24 -> 00:27:27] 就是为什么要做基模的同时又做Studio
[00:27:27 -> 00:27:29] 其实我们认为说
[00:27:29 -> 00:27:35] 未来每一个有专业能力的一个垂内的大人群
[00:27:35 -> 00:27:38] 他都会拥有一个属于自己的AI的工作台
[00:27:38 -> 00:27:40] 而这个AI的工作台
[00:27:40 -> 00:27:45] 它是可以承载他想要的几乎所有的创作
[00:27:45 -> 00:27:46] 它符合几个条件
[00:27:46 -> 00:27:48] 第一个就是说
[00:27:48 -> 00:27:50] 真正的能够端到端
[00:27:50 -> 00:27:53] 它能够暂时的完成
[00:27:53 -> 00:27:56] 它想要的一个完整的一个内容创作的一个结果
[00:27:56 -> 00:27:57] 第二呢
[00:27:57 -> 00:27:59] 它的可控性要足够强
[00:27:59 -> 00:28:02] 就是它的可编辑的这个颗粒度要足够细
[00:28:02 -> 00:28:03] 否则呢
[00:28:03 -> 00:28:04] 那很多专业的人
[00:28:04 -> 00:28:07] 或者有一定的这种对内容有要求的人
[00:28:07 -> 00:28:11] 他的创意就很难体现
[00:28:11 -> 00:28:12] 第三呢
[00:28:12 -> 00:28:14] 就是我们认为说
[00:28:14 -> 00:28:17] 它的交互形态可以发生一些本质的变化
[00:28:17 -> 00:28:18] 所以我觉得
[00:28:18 -> 00:28:20] 我们认为说在去年年底
[00:28:20 -> 00:28:22] 其实有了一个大概这样子的认知
[00:28:22 -> 00:28:24] 所以我们大概做了半年时间
[00:28:24 -> 00:28:25] 说到5月31号
[00:28:25 -> 00:28:28] 我们才把这个Triple Studio的第一版
[00:28:28 -> 00:28:30] 给它正式的给它做出来
[00:28:30 -> 00:28:32] 早期肯定还是
[00:28:32 -> 00:28:33] 怎么说呢
[00:28:33 -> 00:28:34] 不完美的嘛
[00:28:34 -> 00:28:39] 它还是一个最初型的一个状态
[00:28:39 -> 00:28:41] 我们跟最近的一些迭代了以后
[00:28:41 -> 00:28:42] 它的效果已经越来越好
[00:28:42 -> 00:28:44] 所以还觉得只做基模是不够的
[00:28:44 -> 00:28:46] 因为也有人可能会选择说
[00:28:46 -> 00:28:47] 我就做基模
[00:28:47 -> 00:28:50] 把这个做上面类似Triple Studio这样的工作
[00:28:50 -> 00:28:52] 开放给生态的合作伙伴去做
[00:28:52 -> 00:28:53] 嗯
[00:28:53 -> 00:28:54] 很好
[00:28:54 -> 00:28:55] 这是一个很重要的问题
[00:28:55 -> 00:28:56] 我认为说是
[00:28:56 -> 00:29:01] 未来它应该是基模和所谓的这个agent
[00:29:01 -> 00:29:02] 或者把它叫workstation
[00:29:02 -> 00:29:03] 看你怎么定义它
[00:29:03 -> 00:29:05] 这个东西大家都会去做的一点
[00:29:05 -> 00:29:06] 有几个例子
[00:29:06 -> 00:29:08] 比如说Cursor应该会做自己的基模
[00:29:08 -> 00:29:10] 所以你说这是一个方式
[00:29:10 -> 00:29:12] 它不是一个方式
[00:29:12 -> 00:29:13] 我觉得它是一个这样子
[00:29:13 -> 00:29:14] 就是说
[00:29:14 -> 00:29:15] 就是你可以理解为
[00:29:15 -> 00:29:17] 在做大模型的时候
[00:29:17 -> 00:29:19] 就在做底层大模型的时候
[00:29:19 -> 00:29:20] 你在起新墙
[00:29:20 -> 00:29:21] 你在不断的起新墙
[00:29:21 -> 00:29:23] 然后你在做
[00:29:23 -> 00:29:25] 在做工程
[00:29:25 -> 00:29:27] 在做产品工程的时候
[00:29:27 -> 00:29:28] 你在护旧墙
[00:29:28 -> 00:29:31] 因为你要去解决的恰恰就是新墙的
[00:29:31 -> 00:29:33] 或者这个旧墙的缺陷
[00:29:33 -> 00:29:34] 对吧
[00:29:34 -> 00:29:37] 就比如说我上一版的模型
[00:29:37 -> 00:29:39] 它的这个人脸的效果不够好
[00:29:39 -> 00:29:42] 所以如果要我去做这么一个
[00:29:42 -> 00:29:45] 上一级上版模型做的这个agent的话
[00:29:45 -> 00:29:48] 我最要解决的就是脸部的优化
[00:29:48 -> 00:29:49] 这件事情对吧
[00:29:49 -> 00:29:51] 所以我就会做一些交互形态
[00:29:51 -> 00:29:53] 让你能够更好的去解决
[00:29:53 -> 00:29:56] 去改变AI生成的这个脸部的问题
[00:29:56 -> 00:29:58] 但是如果当一个新墙出来的时候
[00:29:58 -> 00:29:59] 说OK了
[00:29:59 -> 00:30:00] 我解决了100个问题
[00:30:00 -> 00:30:02] 顺便我解决了脸部问题
[00:30:02 -> 00:30:04] 那这件事情可能就白做了
[00:30:04 -> 00:30:06] 所以如果我们从在底层的角度
[00:30:06 -> 00:30:08] 去思考这个问题的话
[00:30:08 -> 00:30:09] 我觉得它就是AI 1.0时代
[00:30:09 -> 00:30:11] 和AI 2.0时代的本质区别
[00:30:11 -> 00:30:15] 就是AI 1.0时代的核心就是
[00:30:15 -> 00:30:20] 我们有很多非常非常天才的一些
[00:30:20 -> 00:30:21] 算法科学家
[00:30:21 -> 00:30:24] 我们基于这些算法科学家的聪明才
[00:30:24 -> 00:30:27] 用大量手工调参的方式
[00:30:27 -> 00:30:29] 去训练很多小模型
[00:30:29 -> 00:30:31] 然后我们基于每一个小模型
[00:30:31 -> 00:30:33] 去解决我们遇到的
[00:30:33 -> 00:30:37] 所有的这些场景的一些常规问题
[00:30:37 -> 00:30:38] 这个很好理解
[00:30:38 -> 00:30:39] 我们甚至看到过
[00:30:39 -> 00:30:40] 以前在计算机视觉时代
[00:30:40 -> 00:30:42] 我们在做智慧城市的时候
[00:30:42 -> 00:30:43] 会专门有一个小模型
[00:30:43 -> 00:30:47] 负责去识别垃圾到达了外面
[00:30:47 -> 00:30:49] 专门去识别
[00:30:49 -> 00:30:51] 比如说这个监狱里面
[00:30:51 -> 00:30:52] 会不会有人打架
[00:30:52 -> 00:30:53] 对吧
[00:30:53 -> 00:30:55] 就是非常非常细节的一些问题
[00:30:55 -> 00:30:56] 很常规的问题
[00:30:56 -> 00:30:59] 那AI 2.0时代的核心的地方
[00:30:59 -> 00:31:02] 就是我们通过data driven的方式
[00:31:02 -> 00:31:05] 就是通过这个数据驱动
[00:31:05 -> 00:31:07] 去训练一个大模型
[00:31:07 -> 00:31:10] 然后我们希望通过训练这个通用的大模型
[00:31:10 -> 00:31:12] 去泛滑的解决所有的常规问题
[00:31:12 -> 00:31:13] 对吧
[00:31:13 -> 00:31:16] 那么回到我们刚才谈论的问题
[00:31:16 -> 00:31:20] 就是说做底层模型的优势
[00:31:20 -> 00:31:23] 就是我一下子能解决所有的常规问题
[00:31:23 -> 00:31:26] 那为什么会有人会在这上面做工具
[00:31:26 -> 00:31:27] 或者做agent
[00:31:27 -> 00:31:28] 或者做workstation
[00:31:28 -> 00:31:29] 或者做应用
[00:31:29 -> 00:31:30] 其实核心的解决在于说
[00:31:30 -> 00:31:32] 我认为AI 2.0时代死了
[00:31:32 -> 00:31:35] 所以我在做AI 1.0的事情
[00:31:35 -> 00:31:36] 你觉得AI 2.0死了
[00:31:36 -> 00:31:37] 不跟我没关系
[00:31:37 -> 00:31:38] 是那些在做的人
[00:31:38 -> 00:31:39] 你仔细思考一下
[00:31:39 -> 00:31:40] 其实就是这个逻辑
[00:31:40 -> 00:31:43] 如果AI 2.0时代它在快速的发展
[00:31:43 -> 00:31:44] 对吧
[00:31:44 -> 00:31:45] 就比如说GPT-2
[00:31:45 -> 00:31:46] GPT-5
[00:31:46 -> 00:31:47] GPT-6
[00:31:47 -> 00:31:48] GPT-7
[00:31:48 -> 00:31:49] GPT-8
[00:31:49 -> 00:31:50] GPT-9
[00:31:50 -> 00:31:51] 那cursor是无处遁形的
[00:31:51 -> 00:31:52] 它没有活着的意义几乎
[00:31:52 -> 00:31:55] 因为它每次解决了什么问题的时候
[00:31:55 -> 00:31:57] 这个大哥都会不停的迭代新的
[00:31:57 -> 00:31:59] 你可能就包括很多
[00:31:59 -> 00:32:01] 我们之前看到的conf UI的一些节点
[00:32:01 -> 00:32:02] 可能就没有用了
[00:32:02 -> 00:32:03] 对吧
[00:32:03 -> 00:32:04] 我们去看到了很多
[00:32:04 -> 00:32:06] 这个要去
[00:32:06 -> 00:32:09] 要有些agent去补偿它原有的问题
[00:32:09 -> 00:32:11] 这就很多锤类的一些问题
[00:32:11 -> 00:32:12] 它通用的都给你解掉了
[00:32:12 -> 00:32:14] 所以你是觉得模型撞墙了
[00:32:14 -> 00:32:16] 不是所有的模型撞墙了
[00:32:16 -> 00:32:18] 我就看到了语言撞墙了
[00:32:18 -> 00:32:19] 对吧
[00:32:19 -> 00:32:20] 所以大家才会基于语言
[00:32:20 -> 00:32:22] 出现了很多锤类的问题
[00:32:22 -> 00:32:26] 我们也看到了一些工程和产品
[00:32:26 -> 00:32:28] 或者说看到很多agent的出现
[00:32:28 -> 00:32:29] 对吧
[00:32:29 -> 00:32:30] 因为它的发展速度相对来说
[00:32:30 -> 00:32:31] 没有这么快了
[00:32:31 -> 00:32:33] 但在3D你很少能看到
[00:32:33 -> 00:32:34] 只做这样子的人
[00:32:34 -> 00:32:36] 因为你只做这个东西的时候
[00:32:36 -> 00:32:37] 你就会发现说
[00:32:37 -> 00:32:40] 当下一个大模型到来的时候
[00:32:40 -> 00:32:42] 你就撕给它看了
[00:32:42 -> 00:32:43] 你理解我的意思吗
[00:32:43 -> 00:32:45] 就是说
[00:32:45 -> 00:32:47] 当一个大模型
[00:32:47 -> 00:32:49] 它还属于A2.0时代的时候
[00:32:49 -> 00:32:50] 就是每三到五个月
[00:32:50 -> 00:32:52] 都有一个全新的大版本
[00:32:52 -> 00:32:54] 但是当一个大模型到来的时候
[00:32:54 -> 00:32:55] 是很难出现一个
[00:32:55 -> 00:32:57] 自己没有大模型
[00:32:57 -> 00:32:59] 纯做应用的一家公司
[00:32:59 -> 00:33:01] 因为你在护旧墙
[00:33:01 -> 00:33:02] 好不容易护了半天的时候
[00:33:02 -> 00:33:03] 它给你起了个新墙
[00:33:03 -> 00:33:04] 你也很难受
[00:33:04 -> 00:33:05] 对吧
[00:33:05 -> 00:33:06] 而且你护的旧墙
[00:33:06 -> 00:33:07] 那些护的那些工程
[00:33:07 -> 00:33:08] 其实它新的都给你解决了
[00:33:08 -> 00:33:09] 对
[00:33:09 -> 00:33:10] 这个我理解说
[00:33:10 -> 00:33:11] 应用公司在模型
