# 给 NPC 加上 AI ，真的能让游戏更好玩吗？
# BV: BV1sAVr6bEiN | UP: 插眼GameWard | 时长: 1164s | 语种(ASR判定): zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 2026 年，AI 几乎无所不能。对于所有的游戏开发者来说，第一想法就是：只要把大语言模型塞进 NPC 的脑子里，NPC 不就足够聪明了吗？人人都觉得游戏 NPC 的革命即将到来，我其实也是这么想的。但没想到，实际效果并不理想。

为什么 AI 并没有让游戏变好玩？为了搞明白这件事，我几乎查遍了电子游戏史，终于拼凑出了关于游戏 NPC、人工智能、以及游戏行业是怎么用四十多年时间，造出了「陪伴」这个错觉的完整图景。
[00:17:05 -> 00:17:07] 令玩家难忘的NPCElizabeth时
[00:17:07 -> 00:17:09] 讨论过了一个核心的问题
[00:17:10 -> 00:17:13] 那就是如何让NPC永远和玩家在一起
[00:17:13 -> 00:17:22] 但她永远不能成为玩家的负担
[00:17:22 -> 00:17:23] 针对这个问题
[00:17:23 -> 00:17:26] 我觉得和平精英给出了一个不错的答案
[00:17:26 -> 00:17:27] 那就是
[00:17:27 -> 00:17:30] 一段可以持续成长的关系
[00:17:30 -> 00:17:33] 和平精英AI NPC的不断迭代
[00:17:33 -> 00:17:35] 让我看到了NPC之败的想象空间
[00:17:35 -> 00:17:37] 甚至让我有种
[00:17:37 -> 00:17:38] 某一天他们能跳出屏幕
[00:17:38 -> 00:17:42] 出现在我生活中的期待
[00:17:42 -> 00:17:45] 从吃豆人用四条规则创造出智能的幻觉
[00:17:45 -> 00:17:46] 到今天大语言模式上的NPC之败的想象空间
[00:17:46 -> 00:17:49] 用万亿个参数制造出智能的幻觉
[00:17:49 -> 00:17:52] 中间隔着人类计算能力40年的指数级增长
[00:17:52 -> 00:17:54] 40年
[00:17:54 -> 00:17:58] 我们也才刚刚摸索到让NPC拥有人们的边缘
[00:17:58 -> 00:18:01] 我又看了一遍2011年的GDC上
[00:18:01 -> 00:18:04] 意气风发的眼骨彻兴奋的演讲
[00:18:04 -> 00:18:07] 其中有页PPT上面写着一句话
[00:18:07 -> 00:18:08] Keep everything simple
[00:18:08 -> 00:18:10] 让一切保持简单
[00:18:10 -> 00:18:12] 在游戏行业里
[00:18:12 -> 00:18:15] 玩家觉得好玩才是最简单的硬道理
[00:18:15 -> 00:18:18] 为了搜集和平精英的幻觉
[00:18:18 -> 00:18:19] 和平精英AI队友的信息
[00:18:19 -> 00:18:21] 我把腾讯游戏今年的发布会看完了
[00:18:21 -> 00:18:24] 会发现AI队友只是冰山一角
[00:18:24 -> 00:18:27] 武力全开派对中的AI编舞
[00:18:27 -> 00:18:29] 彩虹六号手游的AI教官
[00:18:29 -> 00:18:32] 更多覆盖不同品类和用户场景
[00:18:32 -> 00:18:35] 关于AI在游戏中的务实应用正在实装
[00:18:35 -> 00:18:39] 我很难说这些功能都会取得好评
[00:18:39 -> 00:18:41] 但它们也确实让我产生了想试试的冲动
[00:18:41 -> 00:18:44] AI真的服务玩家
[00:18:44 -> 00:18:45] 让游戏更好玩
[00:18:45 -> 00:18:48] 这才是游戏AI应该走的道路
[00:18:48 -> 00:18:51] 把AI带到具体的游戏场景中去
[00:18:51 -> 00:18:53] 从而引起下一场涌现
[00:18:53 -> 00:18:56] 但归根结底在2026年
[00:18:56 -> 00:18:58] 我还是一个人在玩游戏
[00:18:58 -> 00:19:00] NPC们有时还会犯傻
[00:19:00 -> 00:19:02] 做出让我哭笑不得的举动
[00:19:02 -> 00:19:03] 不过终于
[00:19:03 -> 00:19:04] 它认识我了
[00:19:04 -> 00:19:09] 我们是插眼
[00:19:09 -> 00:19:12] 一档由前职业媒体人组成的游戏观察频道
[00:19:12 -> 00:19:14] 感谢你看完我们的第一期节目
[00:19:14 -> 00:19:17] 如果你对游戏行业也有感兴趣的问题
[00:19:17 -> 00:19:18] 欢迎在评论区留言
[00:19:18 -> 00:19:21] 让我们在你好奇的地方继续插眼
