# 【十字路口】开源出发，也能干到 6 亿美金估值 | 对谈星爵: Zilliz 创始人/CEO【视频播客】
# BV: BV1kMbKzVEFn | UP: Koji杨远骋at十字路口 | 时长: 2667s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周「十字路口」的嘉宾，是 Zilliz 创始人兼 CEO 星爵。Zilliz 是世界领先的向量数据库企业，估值 6 亿美金。
在 2023 年 GTC 大会上，Zilliz 被黄仁勋点名推荐，作为 AI 大模型基础设施，向量数据库一夜之间成为所有人关注焦点。
➤ 星爵在年初一篇访谈里说：“我们没有对手”，霸气侧漏。
但 Zilliz 不是横空出世的。2018 年，他就开始做 Zilliz，目标是构建处理非结构化数据的基础设施。
Zilliz 一直坚定走开源路线。在本期播客中，星爵和我们分享了他为什么要开源、开源好在哪里、坑在哪里，以及最重要的：开源要怎么赚钱？
本期内容同样适合所有技术背景的创业者。星爵分享了自己从工程师蜕变为 CEO 的历程：
▌在变得更现实，更懂博弈之后，发现自己的核心竞争力仍构建在“技术世界需要理想主义”之上。
—
➤ 嘉宾介绍：星爵，Zilliz 创始人兼 C
[00:15:35 -> 00:15:40] 看到了这个向向量数据库成为大家追逐的一个热点
[00:15:40 -> 00:15:41] 其实我们心里面是很喜悦的
[00:15:41 -> 00:15:43] 我自己理解啊
[00:15:43 -> 00:15:46] 就这个竞争其实还是比较激烈的
[00:15:46 -> 00:15:47] 我稍微梳理一下
[00:15:47 -> 00:15:49] 我觉得他来自四个方面
[00:15:49 -> 00:15:52] 第一个是就是比如说以拍控为代表
[00:15:52 -> 00:15:52] 在商业层面上呢
[00:15:52 -> 00:15:54] 策略上和你们选的不一样
[00:15:54 -> 00:15:55] 你们是开源路线
[00:15:55 -> 00:15:57] 他们是币源
[00:15:57 -> 00:15:59] 然后他们现在估值7.5亿美金
[00:15:59 -> 00:16:00] 那你怎么看
[00:16:00 -> 00:16:03] 我们俩两个公司的话应该是咬得很紧的
[00:16:03 -> 00:16:07] 像刚才你提到他们的估值是7.5亿美金
[00:16:07 -> 00:16:08] 我们是六亿美金
[00:16:08 -> 00:16:11] 我们最大的一个区分点就是说是开源跟币源
[00:16:11 -> 00:16:12] 让我再做一次
[00:16:12 -> 00:16:14] 我还是会做一家开源的公司
[00:16:14 -> 00:16:18] 对因为我对开源是有一个很好的信念的
[00:16:18 -> 00:16:20] 因为开源的话
[00:16:20 -> 00:16:20] 本质上来说的话
[00:16:20 -> 00:16:22] 可以促进
[00:16:22 -> 00:16:25] 这个知识的传播技术的交流
[00:16:25 -> 00:16:30] 也可以反过来能够促进你的技术以更快的方法去迭代
[00:16:30 -> 00:16:32] 所以今天你们和拍控最大的竞争优势
[00:16:32 -> 00:16:34] 你认为是来自开源吗
[00:16:34 -> 00:16:40] 我觉得开源肯定是我们最大最大的一个长久的一个优势
[00:16:40 -> 00:16:43] 如果说自己比产品跟技术来讲的话
[00:16:43 -> 00:16:44] 我们的产品的话
[00:16:44 -> 00:16:47] 比拍控在性在性能
[00:16:47 -> 00:16:49] 这个层那个层面来说的话
[00:16:49 -> 00:16:52] 是有一个三三到五倍的一个领先的优势的
[00:16:52 -> 00:17:00] 但是我并不想认为就是去讲我们的跟他的竞争的差异点是在我们三倍五倍的技术的一个领先的优势
[00:17:00 -> 00:17:02] 因为我觉得就是技术的领先优势
[00:17:02 -> 00:17:04] 最终来讲说的话
[00:17:04 -> 00:17:05] 技术都会平权
[00:17:05 -> 00:17:05] 对不对
[00:17:05 -> 00:17:07] 但是所以我觉得就是说
[00:17:07 -> 00:17:10] 虽然说我们现在技术产品里面一个声位
[00:17:10 -> 00:17:14] 但是这个声位的这个来源的话是来自于我们开源跟开放
[00:17:14 -> 00:17:16] 因为我们有了开源开放
[00:17:16 -> 00:17:21] 所以我们能够在全球能够有更多的这个开发者用起来
[00:17:21 -> 00:17:22] 有更多的开发者
[00:17:22 -> 00:17:25] 他们又能够帮我们反馈更多的一些需求
[00:17:25 -> 00:17:26] 让我们去迭代我们的产品
[00:17:26 -> 00:17:29] 所以在之后的竞争中的话
[00:17:29 -> 00:17:32] 我觉得其实不取决于说你现在在什么位置
[00:17:32 -> 00:17:34] 只有开源跟开放
[00:17:34 -> 00:17:38] 然后我们能够有更多的开发者能够拿到更多的企业的这种需求
[00:17:38 -> 00:17:40] 去让我们更快的去迭代我们的产品
[00:17:40 -> 00:17:43] 让我们有个更清晰的一个road map
[00:17:43 -> 00:17:44] 以后少走弯路
[00:17:44 -> 00:17:45] 少犯错误
[00:17:45 -> 00:17:51] 这可能是我觉得跟其他的必然公司去做一个对比的说我们的一个底气
[00:17:51 -> 00:17:54] 待会我们可以再多聊一聊开源闭源这个路线的选择
[00:17:54 -> 00:17:55] 包括开源
[00:17:55 -> 00:17:59] 他到底意味着什么样的这个优势和他的商业的机会
[00:17:59 -> 00:18:01] 到底要怎么去给他这个实现出来
[00:18:01 -> 00:18:03] 我们再回到竞争角度
[00:18:03 -> 00:18:05] 一个是说开源与闭源路线的选择
[00:18:05 -> 00:18:07] 然后你们和这个Pycom咬得很紧
[00:18:07 -> 00:18:12] 然后大家两条路线好像都在各自的领域也都有一些收获
[00:18:12 -> 00:18:16] 我其实也看到有另外一些同样在开源赛道的你们的竞品有刹
[00:18:16 -> 00:18:17] 比如说Q-drant
[00:18:17 -> 00:18:19] 比如说FAISS
[00:18:19 -> 00:18:21] 还有一家叫Viviant
[00:18:21 -> 00:18:24] 那从你的角度看
[00:18:24 -> 00:18:26] 他们有带来一些冲击
[00:18:26 -> 00:18:28] 或者有蚕食掉一些你们的市场吗
[00:18:28 -> 00:18:33] 首先我这里要指出一下
[00:18:33 -> 00:18:37] FAISS的确是在那个像像量这个检索方面的话
[00:18:37 -> 00:18:39] 很有名的一个项目
[00:18:39 -> 00:18:44] 我们Zilis公司的话是这个项目除了Facebook之外
[00:18:44 -> 00:18:46] 最大的参与者和贡献者
[00:18:46 -> 00:18:48] 所以的话就是说FAISS来说的话
[00:18:48 -> 00:18:51] 其实就他有一点像一个这种
[00:18:51 -> 00:18:52] 算法集
[00:18:52 -> 00:18:55] 他是这种项链检索的一套这种算法集
[00:18:55 -> 00:19:01] 所以的话我们的开源的MiaWatts其实是大量的是跟Face去合作
[00:19:01 -> 00:19:05] 我们也大量的使用了那个Face做我们的算法的一个底座
[00:19:05 -> 00:19:07] 做我们开源算法的一个底座
[00:19:07 -> 00:19:11] 然后的话的确我们也看到像现在有更多的一些开源项目出来
[00:19:11 -> 00:19:16] 可能大家都会有自己的一个这种切入点
[00:19:16 -> 00:19:18] 对于我们的MiaWatts来说
[00:19:18 -> 00:19:19] 第一个来说的话
[00:19:19 -> 00:19:21] 他的性能是特别特别好的
[00:19:21 -> 00:19:24] 第二个来说他的可扩展性是特别特别好的
[00:19:24 -> 00:19:25] 对第三个来说的话
[00:19:25 -> 00:19:27] 其实跟第一点跟第二点是比较相关
[00:19:27 -> 00:19:31] 就是说我们MiaWatts项目的整体的这个TCO是最优的
[00:19:31 -> 00:19:38] 这个TCO就既包含了我们说的用户前期要使用你的机器和硬件的投入的这个成本
[00:19:38 -> 00:19:40] 所以一个数据库里的性能越好
[00:19:40 -> 00:19:44] 那么意味着你需要的硬件设备可能就会比较少
[00:19:44 -> 00:19:48] 然后第二个来说的话是你整体的这个开发的这个成本
[00:19:48 -> 00:19:50] 而MiaWatts来说的话是在过去的
[00:19:51 -> 00:19:56] 棋盘里面我们跟全球的AI的生态的各种框架
[00:19:56 -> 00:20:00] 各种大语言模型都做了一个很好的一个整合
[00:20:00 -> 00:20:01] 所以的话就是用户的话
[00:20:01 -> 00:20:04] 他的那个开那个开发会更方便
[00:20:04 -> 00:20:07] 并且我们也支持了更多的这种数据类型
[00:20:07 -> 00:20:11] 支持了更多的这种数据的查那个查询的方式
[00:20:11 -> 00:20:14] 对所以你看到今天的MiaWatts已经不简单
[00:20:14 -> 00:20:18] 只做一个向量数据的这个静音的搜索了
[00:20:18 -> 00:20:20] 其实他可以做这种基于标量的过滤
[00:20:21 -> 00:20:25] 可以基于标量跟向量的混合查询
[00:20:25 -> 00:20:28] 对可以做数据的据类
[00:20:28 -> 00:20:29] 可以做分类
[00:20:29 -> 00:20:31] 可以做re-ranking
[00:20:31 -> 00:20:34] 所以的话我们这边的话让降低了
[00:20:34 -> 00:20:37] 所有那个开发者的使用这个这个成本
[00:20:37 -> 00:20:40] 第三点来说的话也是我们一直在做
[00:20:40 -> 00:20:45] 就是说我们在降低我们用户的这个维护这个成本
[00:20:45 -> 00:20:47] 对所以在他生产上线以后
[00:20:47 -> 00:20:50] 他运维的用我们提供
[00:20:51 -> 00:20:54] 整套了这种用那个用维的这种工具链
[00:20:54 -> 00:20:56] 包括数据的可视化
[00:20:56 -> 00:21:00] 包括跟这种传统的这些运维啊
[00:21:00 -> 00:21:02] 数据采集系统的整合
[00:21:02 -> 00:21:06] 跟他的数据的全线管理系统打通
[00:21:06 -> 00:21:07] 跟他内部的企业的这个
[00:21:07 -> 00:21:12] 比如说他的那个access control的这种系统的全线系统去打通
[00:21:12 -> 00:21:17] 对使他整体后面的运维跟维护的成本也会比较低
[00:21:17 -> 00:21:19] 然后第三个第四方面的竞争哈
[00:21:19 -> 00:21:21] 我理解其实还是来自于
[00:21:21 -> 00:21:23] 比如说传统的数据库像mongodb
[00:21:23 -> 00:21:25] 他有可能也会加向量数据库
[00:21:25 -> 00:21:27] 像postgres circle
[00:21:27 -> 00:21:28] 他可能也会加
[00:21:28 -> 00:21:29] 然后另一方面
[00:21:29 -> 00:21:32] 不管是lunchem还是lama index
[00:21:32 -> 00:21:38] 他们也可能会把向量数据库整合成他们整个这个生态系统当中的一个部分
[00:21:38 -> 00:21:42] 那在这个里面好像一个独立的这个向量数据库的项目
[00:21:42 -> 00:21:44] 或公司或产品
[00:21:44 -> 00:21:45] 他会不会有一天被人吞掉呢
[00:21:45 -> 00:21:46] 你会有这种担心吗
[00:21:46 -> 00:21:48] 其实你刚才提的是两个问题
[00:21:48 -> 00:21:50] 我一个一个去回答一下
[00:21:50 -> 00:21:51] 第一个呢
[00:21:51 -> 00:21:55] 就是说对于传统的数据库加上一个向量数据库
[00:21:55 -> 00:21:57] 其实这是一个临时的过渡的方案
[00:21:57 -> 00:21:59] 就在他数据量比较小
[00:21:59 -> 00:22:00] 场景比较单一的时候
[00:22:00 -> 00:22:05] 他是可以用的对等他的场景比较关键的数量比较大
[00:22:05 -> 00:22:08] 他们是会迁移到一个专用的向量数据库系统之上去
[00:22:08 -> 00:22:11] 所以这里面举一个类比来说的话
[00:22:11 -> 00:22:17] 这个在传统的数据库里面加上一个向量的搜索的一个模块
[00:22:17 -> 00:22:20] 就有点像在新能源汽车里面
[00:22:20 -> 00:22:21] 这种增层式的
[00:22:21 -> 00:22:25] 汽车在燃油车里面加一个电池
[00:22:25 -> 00:22:26] 我觉得这是一个过渡的方案
[00:22:26 -> 00:22:29] 他永远不能跟一个原生的方案去比较的话
[00:22:29 -> 00:22:30] 第二个来说的话
[00:22:30 -> 00:22:32] 就是说你刚才说的一些开发的框架
[00:22:32 -> 00:22:34] 比如说像向量线
[00:22:34 -> 00:22:36] 向量线
[00:22:36 -> 00:22:37] 这一块说的
[00:22:37 -> 00:22:38] 我就从天然上面
[00:22:38 -> 00:22:39] 从第一天开始的话
[00:22:39 -> 00:22:44] 大家就是在一个不同层次的一个产品不存在说竞争的
[00:22:44 -> 00:22:45] 我们看的就是说
[00:22:45 -> 00:22:50] 并不存在说一个开发框架会把一个数据库系统把它把它包住
[00:22:50 -> 00:22:53] 甚至会取代一个数据库系统
[00:22:53 -> 00:22:58] 而我的判断就是说以后在AI这个时代里面开发者框架会进一步的细分
[00:22:58 -> 00:22:58] 对
[00:22:58 -> 00:23:03] 可能除了现在有名的框架里会出现更多更多细分的这种框架
[00:23:03 -> 00:23:06] 如果说我们看到像过去几年里面的那个时候
[00:23:06 -> 00:23:09] 我们说在一个web的一个开发框架里面
[00:23:09 -> 00:23:11] 一般会说的有应用层
[00:23:11 -> 00:23:13] 把我刚才讲的框架都是属于应用层的这种框架
[00:23:13 -> 00:23:14] 对
[00:23:14 -> 00:23:15] 然后后面还有个midway
[00:23:15 -> 00:23:17] 有个中间建层
[00:23:17 -> 00:23:20] 然后最下面才是说是那个数据库
[00:23:20 -> 00:23:20] 跟数据库之类的
[00:23:20 -> 00:23:21] 我们操作系统这个层面
[00:23:21 -> 00:23:26] 其实我们跟Numchain跟那个Numindex的话都是这种战略合作的伙伴
[00:23:26 -> 00:23:28] 我们也经常跟他们实在去合作
[00:23:28 -> 00:23:32] 刚才提到的各种各样的竞争对手里面有哪一个是你最担心的
[00:23:32 -> 00:23:34] 与其就关注竞争对手做什么事情
[00:23:34 -> 00:23:36] 不如说关注我们自己
[00:23:36 -> 00:23:42] 最担心的就是说我们能不能以更快的速度去创新
[00:23:42 -> 00:23:43] 因为说到开源
[00:23:43 -> 00:23:46] 其实我俩在录这一期播客之前正好吃午饭的时候
[00:23:46 -> 00:23:48] 然后另外一位朋友我们一块在吃
[00:23:48 -> 00:23:50] 他说他最近见到Reno
[00:23:50 -> 00:23:50] 他说他最近见到Reno
[00:23:50 -> 00:23:50] 他说他最近见到Reno
[00:23:50 -> 00:23:50] 他说他最近见到Reno
[00:23:50 -> 00:23:51] 就Databricks的co-founder
[00:23:51 -> 00:23:53] 然后他问Reno先说
[00:23:53 -> 00:23:55] 如果可以重新选择
[00:23:55 -> 00:23:57] 你一开始还会开源吗
[00:23:57 -> 00:23:58] 然后Reno先告诉他
[00:23:58 -> 00:23:59] 可以重新选择
[00:23:59 -> 00:24:00] 我不要再做开源
[00:24:00 -> 00:24:02] 我上来就要做币源
[00:24:02 -> 00:24:03] 那想问问你
[00:24:03 -> 00:24:04] 你怎么看
[00:24:04 -> 00:24:06] 就是如果可以重新选择
[00:24:06 -> 00:24:08] 你还是会一开始做Z-list的时候就做开源吗
[00:24:08 -> 00:24:10] 如果要重新选择
[00:24:10 -> 00:24:11] 我还是会选开源
[00:24:11 -> 00:24:11] 对
[00:24:11 -> 00:24:14] 如果没有开源就没有Databricks
[00:24:14 -> 00:24:17] 他们曾经是通过开源的这个社区影响力
[00:24:17 -> 00:24:20] 让他们能够成功的融资
[00:24:20 -> 00:24:23] 能够让他们拿到了第一批的这种用户
[00:24:23 -> 00:24:23] 对
[00:24:23 -> 00:24:26] 然后时至今日的话
[00:24:26 -> 00:24:31] 我觉得在那个Databricks跟Snowflake的竞争中间来看的话
[00:24:31 -> 00:24:35] 因为有更多的开发者在用他的这个系统
[00:24:35 -> 00:24:37] 他的生态位的这种定位
[00:24:37 -> 00:24:42] 他其实以后可能会有比Snowflake更大的成长的空间
[00:24:42 -> 00:24:45] 所以你会认为开源对于Databricks
[00:24:45 -> 00:24:46] 对于Z-list来讲
[00:24:46 -> 00:24:48] 是一个捷径吗
[00:24:48 -> 00:24:49] 还是他是一个
[00:24:49 -> 00:24:50] 呃
[00:24:50 -> 00:24:51] 不得不做的选择
[00:24:51 -> 00:24:53] 你可能没有第二条路
[00:24:53 -> 00:24:55] 首先这肯定不是个捷径
[00:24:55 -> 00:24:58] 开源其实要你付更多的耐心
[00:24:58 -> 00:25:00] 开源可以是你中间的一个护城河
[00:25:00 -> 00:25:03] 你是要掌握开发者的心智
[00:25:03 -> 00:25:03] 对吧
[00:25:03 -> 00:25:07] 你希望很低成本的进入他们的那个工具站
[00:25:07 -> 00:25:09] 你希望低成本的让他们来学你这个东西
[00:25:09 -> 00:25:11] 一个开源的产品来说的话
[00:25:11 -> 00:25:15] 他在GitHub上面可以直接把它download下来就可以使用
[00:25:15 -> 00:25:16] 并且来说的话
[00:25:16 -> 00:25:18] 他可以去看你的那个实现的这种细节
[00:25:18 -> 00:25:19] 然后呃
[00:25:19 -> 00:25:20] 呃
[00:25:20 -> 00:25:25] 所以我觉得开源天生就是更加招人喜欢的
[00:25:25 -> 00:25:34] 其实像Reno Hsin他提到他为什么能够再来一次就一定不会选开源的原因是他认为他们开源虽然做得不错
[00:25:34 -> 00:25:38] 但是他后来发现为了找PMF好像要二次创业一样
[00:25:38 -> 00:25:39] 再去做一个必然的产品
[00:25:39 -> 00:25:44] 所以把创业要跨越的一座大山变成了跨越两次大山
[00:25:44 -> 00:25:45] 这个你怎么看
[00:25:45 -> 00:25:48] 这正好就是说他今天那个成功
[00:25:48 -> 00:25:49] 还有他自己三亿的必然的产品
[00:25:49 -> 00:25:51] 在壁垒的一个很重要的一个所在
[00:25:51 -> 00:25:53] 就他跨越了两座大山
[00:25:53 -> 00:25:54] 你跨过去很不容易
[00:25:54 -> 00:25:56] 你的竞争对手又跨越过去
[00:25:56 -> 00:25:57] 可能也很不容易
[00:25:57 -> 00:25:58] 就我跟Reno聊过
[00:25:58 -> 00:26:05] 他们的话其实也创造性的那个摸索出了一个新型的一个开源的商业模式
[00:26:05 -> 00:26:08] 像我们知道像传统的开源的商业模式的话
[00:26:08 -> 00:26:10] 就是说那个open call的这种商业模式
[00:26:10 -> 00:26:14] 基本就是说我会做一个开源的一个核心
[00:26:14 -> 00:26:18] 然后我的商业化产品会加一些这种企业级的服务
[00:26:18 -> 00:26:18] 对吧
[00:26:18 -> 00:26:19] 但是核心是
[00:26:19 -> 00:26:21] 有什么区别的
[00:26:21 -> 00:26:25] 像这么做的一个好处就是说你基本上的话只用做一次研发
[00:26:25 -> 00:26:28] 但是你的一个弊端就是说在商业化的时候
[00:26:28 -> 00:26:31] 你很难回答一个用户的灵魂考问
[00:26:31 -> 00:26:34] 你跟开源你商业化产品跟开源有什么区别
[00:26:34 -> 00:26:37] 我为什么一定要付这么多钱买你一个商业化的产品
[00:26:37 -> 00:26:41] Databricks走出了一条完全不同的一个道路
[00:26:41 -> 00:26:43] 他的模式叫做那个dual call
[00:26:43 -> 00:26:45] 他有一个open source的call
[00:26:45 -> 00:26:48] 然后同时来说他有一个商业化的call
[00:26:48 -> 00:26:49] 商业化的call是必然的
[00:26:49 -> 00:26:56] 然后他会把商业化的call设计成跟那个开源的这个call
[00:26:56 -> 00:27:01] 是基本上他用户体验接口还有产品形态是一模一样的
[00:27:01 -> 00:27:03] 所以两边是完全兼容的
[00:27:03 -> 00:27:06] 所以用户可以很好的能够迁移过来
[00:27:06 -> 00:27:07] 对
[00:27:07 -> 00:27:08] 但是来说的话
[00:27:08 -> 00:27:10] 他的那个商业化的call来说的话
[00:27:10 -> 00:27:12] 是完完全全是重写的
[00:27:12 -> 00:27:14] 重新设计重新去写的
[00:27:14 -> 00:27:17] 他的商业化的自行引擎就是用C++去写的
[00:27:17 -> 00:27:19] 而他开源的这个子自行引擎呢
[00:27:19 -> 00:27:21] 的话是用java去写的
[00:27:21 -> 00:27:23] 所以他要完全两套人码写两套东西
[00:27:23 -> 00:27:25] 所以最最重要的话
[00:27:25 -> 00:27:27] 他就要保证我的商业化的call
[00:27:27 -> 00:27:30] 从设计从功能从性能各方面来说的话
[00:27:30 -> 00:27:33] 是比开源的这个call是要领先一个生命的
[00:27:33 -> 00:27:34] 对
[00:27:34 -> 00:27:36] 所以这样的就解决了用户说
[00:27:36 -> 00:27:39] 我为什么要为你的商业化产品付钱
[00:27:39 -> 00:27:43] 你告诉他就是说我提供跟你的开源产品一样的用户体验
[00:27:43 -> 00:27:45] 你你今天跑在开源上面
[00:27:45 -> 00:27:48] 你明天你就可以无缝的迁移到我的币源上面来
[00:27:48 -> 00:27:48] 嗯
[00:27:48 -> 00:27:51] 你的迁移成本基本可以忽略
[00:27:51 -> 00:27:52] 但是来说的话
[00:27:52 -> 00:27:53] 你的产品体验更好了
[00:27:53 -> 00:27:54] 你的性能更好了
[00:27:54 -> 00:27:57] 你解决这个差异化的一个问题
[00:27:57 -> 00:28:00] 那用户可能就有更好的一个付费的一个动力和意愿了
[00:28:00 -> 00:28:02] 但是他要解决的一个很大的一个挑战
[00:28:02 -> 00:28:06] 就是说本质上你是在做两个产品
[00:28:06 -> 00:28:08] 一个开源的产品
[00:28:08 -> 00:28:10] 面向于开源社区
[00:28:10 -> 00:28:12] 另外一个是币源的产品
[00:28:12 -> 00:28:14] 面向于你的商业化
[00:28:14 -> 00:28:17] 并且你还要保证你的币源产品跟开源产品既兼容
[00:28:17 -> 00:28:18] 又要比他好
[00:28:18 -> 00:28:18] 嗯
[00:28:18 -> 00:28:19] 对
[00:28:19 -> 00:28:22] 币源这个好还是一个动态的好
[00:28:22 -> 00:28:22] 嗯
[00:28:22 -> 00:28:22] 对
[00:28:22 -> 00:28:24] 因为你的开源产品也要不断地迭代
[00:28:24 -> 00:28:24] 对
[00:28:24 -> 00:28:27] 所以的话基本上你要维持一个这种
[00:28:27 -> 00:28:28] 嗯
[00:28:28 -> 00:28:30] 一个这种移动的时间窗口
[00:28:30 -> 00:28:30] 嗯
[00:28:30 -> 00:28:34] 就是我这个币源产品永远比开源产品好
[00:28:34 -> 00:28:35] 12个月
[00:28:35 -> 00:28:35] 嗯
[00:28:35 -> 00:28:36] 18个月
[00:28:36 -> 00:28:37] 所以这里面说
[00:28:37 -> 00:28:39] 对你的这个工程的能力
[00:28:39 -> 00:28:41] 对你的产品的设计
[00:28:41 -> 00:28:44] 对你整个的这个组织架构的这个能力的话
[00:28:44 -> 00:28:45] 有一个很大的一个挑战
[00:28:45 -> 00:28:48] 所以你们现在也是选择了这个DuraCode的路径吗
[00:28:48 -> 00:28:48] 对
[00:28:48 -> 00:28:49] 对
[00:28:49 -> 00:28:52] 其实我们当时在18年19年的时候
[00:28:52 -> 00:28:56] 我们就决定了我们要走一条这种DuraCode的一种模式
[00:28:56 -> 00:28:57] 挺不容易的
[00:28:57 -> 00:28:59] 要求你的工程师团队
[00:28:59 -> 00:29:00] 跟你的产品团队
[00:29:00 -> 00:29:02] 要有很强的执行力
[00:29:02 -> 00:29:06] 要有很强的这个迭代的这个速度
[00:29:06 -> 00:29:06] 哎
[00:29:06 -> 00:29:08] 那你怎么看DeepSeek的开源
[00:29:08 -> 00:29:10] 对他带去的价值和帮助
[00:29:10 -> 00:29:12] DeepSeek跟我们这种数据库公司
[00:29:12 -> 00:29:14] 可能不是在同一个维度
[00:29:14 -> 00:29:16] 他要追求的就是说
[00:29:16 -> 00:29:18] 我如何作为一个后发者
[00:29:18 -> 00:29:20] 能够迅速的占领心智
[00:29:20 -> 00:29:23] 他用开源也解决了他的用户的获取
[00:29:23 -> 00:29:25] 跟占领心智
[00:29:25 -> 00:29:28] 跟占领开发者最宝贵的开发者时间
[00:29:28 -> 00:29:29] 这个目的
[00:29:29 -> 00:29:32] 一个开发者既然说我安装了DeepSeek
[00:29:32 -> 00:29:33] 我这个公司安装了DeepSeek
[00:29:33 -> 00:29:36] 大概率就不会装其他家的那个模型了
[00:29:36 -> 00:29:38] 所以我觉得他解决这个站位
[00:29:38 -> 00:29:39] 这样的一个问题
[00:29:39 -> 00:29:42] 现在你会认为大家选开源
[00:29:42 -> 00:29:43] 已经不像一开始那样
[00:29:43 -> 00:29:47] 开源其实是为了能够吸引更多的人
[00:29:47 -> 00:29:48] 开发者
[00:29:48 -> 00:29:49] 加入我的生态
[00:29:49 -> 00:29:51] 来帮我把这个产品一起做得更好
[00:29:51 -> 00:29:53] 这是不是已经有点失去了
[00:29:53 -> 00:29:56] 那样的纯粹的一个开源的理想
[00:29:56 -> 00:29:59] 而是其实开源更多是为了某种竞争
[00:29:59 -> 00:30:01] 为了某种美誉度
[00:30:01 -> 00:30:05] 或者为了某种得到更多人的喜爱
[00:30:05 -> 00:30:07] 从而获得竞争优势
[00:30:07 -> 00:30:07] 我觉得更多的是
[00:30:07 -> 00:30:09] 就是你开源的协作的方式
[00:30:09 -> 00:30:11] 现在也在发生很多的一些变化
[00:30:11 -> 00:30:13] 像的确开源来说的话
[00:30:13 -> 00:30:14] 有更多的开发者
[00:30:14 -> 00:30:16] 能够引入一些外部的开发者
[00:30:16 -> 00:30:18] 这是一个比较好的
[00:30:18 -> 00:30:19] 但是来说的话
[00:30:19 -> 00:30:21] 你引入了太多的这种外部的开发者
[00:30:21 -> 00:30:22] 以后来说的话
[00:30:22 -> 00:30:24] 其实你的项目的管理
[00:30:24 -> 00:30:26] 还有项目的方向的引导
[00:30:26 -> 00:30:27] 也会出现很多的问题
[00:30:27 -> 00:30:30] 所以我们其实现在看到更多的开源公司的背后
[00:30:30 -> 00:30:33] 开源项目会背后有一个商业化的公司
[00:30:33 -> 00:30:35] 在引领这个社区
[00:30:35 -> 00:30:36] 在引领这个项目
[00:30:36 -> 00:30:39] 为这个项目做更大的一些贡献
[00:30:39 -> 00:30:40] 其实开源
[00:30:40 -> 00:30:42] 我觉得最大最大的一点来说的话
[00:30:42 -> 00:30:45] 是把你的技术把它展开了
[00:30:45 -> 00:30:47] 把它透明化
[00:30:47 -> 00:30:48] 而不是一个黑盒
[00:30:48 -> 00:30:49] 很多工程师
[00:30:49 -> 00:30:51] 他轻易于一个开源项目
[00:30:51 -> 00:30:54] 并不是说我一定要成为那个项目的贡献者
[00:30:54 -> 00:30:55] 更多的来说的话
[00:30:55 -> 00:30:58] 就是说他会觉得我自己有一个成长
[00:30:58 -> 00:31:00] 第一个是我看到这个项目的时候
[00:31:00 -> 00:31:02] 我如果觉得这一块的一些架构是怎么做的
[00:31:02 -> 00:31:04] 我可以自己去看代码
[00:31:04 -> 00:31:06] 我可以很了解你的项目的架构
[00:31:06 -> 00:31:08] 你的项目到底是怎么去设计的
[00:31:08 -> 00:31:10] 这个功能是怎么去实现的
[00:31:10 -> 00:31:11] 所以他需要的时候
[00:31:11 -> 00:31:13] 他有这样的一个透明度
[00:31:13 -> 00:31:14] 第二在海外来说的话
[00:31:14 -> 00:31:16] 他们选择开源项目
[00:31:16 -> 00:31:17] 大概率不是为了说
[00:31:17 -> 00:31:18] 我为了不负责任了
[00:31:18 -> 00:31:18] 我为了不负钱
[00:31:18 -> 00:31:19] 他们很多项目就是说
[00:31:19 -> 00:31:23] 我就是要防止我的技术站的锁定
[00:31:23 -> 00:31:27] 如果我用了一个完全避免的项目的话
[00:31:27 -> 00:31:29] 那我完完全全以后就只能走下去了
[00:31:29 -> 00:31:32] 并且我没有任何的visibility
[00:31:32 -> 00:31:33] 一个开源项目来讲
[00:31:33 -> 00:31:36] 我至少还是保留一个退路来说
[00:31:36 -> 00:31:39] 哪一天如果我不跟这个公司合作了
[00:31:39 -> 00:31:41] 我可以转向开源社区
[00:31:41 -> 00:31:42] 我可以自己建一个团队
[00:31:42 -> 00:31:43] 基于开源项目
[00:31:43 -> 00:31:46] 自个去做维护跟升级
[00:31:46 -> 00:31:48] 所以现在你们这个
[00:31:48 -> 00:31:51] 开源的项目里面有多少的核心的
[00:31:51 -> 00:31:52] 有价值的代码
[00:31:52 -> 00:31:55] 是真的来自你们团队之外的
[00:31:55 -> 00:31:56] 其他的开发者提供的
[00:31:56 -> 00:31:59] 我们现在社区的开发者还有300多个
[00:31:59 -> 00:32:02] 这里面只有20%的项目的开发者
[00:32:02 -> 00:32:03] 在我们公司
[00:32:03 -> 00:32:06] 但是他们贡献了80%到90%的代码
[00:32:06 -> 00:32:08] 所以外面的一些社区的开发者来说的话
[00:32:08 -> 00:32:13] 他们可能更多的是去改一些bug
[00:32:13 -> 00:32:14] 做一些周边的一个工具
[00:32:14 -> 00:32:16] 一些增强一些整合等等
[00:32:16 -> 00:32:17] 对
[00:32:17 -> 00:32:21] 我觉得这也是比较符合我们的预期的
[00:32:21 -> 00:32:21] 对
[00:32:21 -> 00:32:26] 因为对一个数据库系统来讲来说的话
[00:32:26 -> 00:32:28] 成为一个核心的开发者的话
[00:32:28 -> 00:32:30] 它需要很长的一个时间
[00:32:30 -> 00:32:32] 你如何定义这一段创业的成功
